WORDCOUNTS,WEIGHT
the,30
of,16
to,13
and,13
it,9
that,9
was,9
mr,6
war,5
president,5
had,5
be,5
committee,5
were,5
i,4
wilson,4
could,4
as,4
not,4
present,4
a,4
matter,3
in,3
secretary,3
who,3
balfour,3
conference,3
on,3
we,3
should,3
allies,3
lord,3
kitchener,2
naval,2
chief,2
now,2
hankey,2
george,2
runciman,2
if,2
military,2
france,2
jackson,2
responsibility,2
law,2
sir,2
such,2
opinion,2
nor,2
robertson,2
move,2
bonar,2
unless,2
served,2
prime,2
ought,2
lloyd,2
mckenna,2
minister,2
any,2
those,2
house,1
from,1
colonial,1
but,1
trade,1
belgium,1
suggestion,1
this,1
own,1
advisers,1
clear,1
asquith,1
footing,1
confirmed,1
ministers,1
answer,1
me,1
reginald,1
since,1
first,1
note,1
no,1
decidedly,1
imperial,1
concerned,1
course,1
unnecessary,1
action,1
party,1
putting,1
members,1
leader,1
consent,1
walter,1
would,1
encouraging,1
an,1
both,1
him,1
meeting,1
high,1
lines,1
regular,1
asked,1
mark,1
know,1
bring,1
again,1
appear,1
development,1
etc,1
alone,1
grey,1
w,1
all,1
england,1
secured,1
water,1
my,1
made,1
for,1
their,1
upon,1
s,1
board,1
taking,1
desired,1
suggesting,1
conservative,1
favourable,1
appeared,1
left,1
henry,1
visiting,1
reached,1
time,1
auspices,1
views,1
up,1
send,1
entirely,1
far,1
communication,1
thought,1
financial,1
sea,1
take,1
intimated,1
make,1
under,1
considered,1
colonel,1
col,1
consider,1
observed,1
aside,1
entertained,1
general,1
think,1
assent,1
andrew,1
authorities,1
prepared,1
which,1
come,1
staff,1
member,1
formation,1
